Tanggal;Curah Hujan (mm);Suhu Rata-rata (C);Kelembapan Rata-rata (%);Kecepatan Angin Max (km/h)
2004-01-01;0.5;25.9;85;16.3
2004-01-02;0.0;26.5;82;16.6
2004-01-03;5.2;26.2;85;15.0
2004-01-04;1.5;25.8;86;13.6
2004-01-05;70.0;25.9;83;14.5
2004-01-06;0.0;25.9;84;14.5
2004-01-07;0.0;26.2;84;14.5
2004-01-08;0.0;25.7;86;14.5
2004-01-09;2.0;25.8;85;12.7
2004-01-10;0.0;25.6;87;11.8
2004-01-11;1.5;25.8;88;10.7
2004-01-12;13.0;25.8;88;10.2
2004-01-13;4.0;25.4;88;15.1
2004-01-14;32.6;26.0;84;10.0
2004-01-15;4.5;26.1;86;12.3
2004-01-16;2.0;26.2;86;12.6
2004-01-17;0.0;26.2;85;12.1
2004-01-18;0.0;25.7;89;11.0
2004-01-19;2.0;25.8;86;7.2
2004-01-20;0.0;25.9;84;15.5
2004-01-21;0.0;25.4;88;9.4
2004-01-22;0.0;25.7;87;9.9
2004-01-23;0.0;26.0;86;13.2
2004-01-24;0.0;25.5;88;11.8
2004-01-25;0.0;25.7;85;18.1
2004-01-26;0.0;25.1;91;11.7
2004-01-27;19.5;25.0;90;13.0
2004-01-28;0.0;26.0;87;10.2
2004-01-29;1.5;26.5;83;15.7
2004-01-30;1.0;26.2;85;10.5
2004-01-31;1.5;26.0;88;12.3
2004-02-01;0.0;26.0;86;7.1
2004-02-02;0.0;26.2;85;15.0
2004-02-03;0.0;25.2;89;14.2
2004-02-04;19.0;25.5;86;10.1
2004-02-05;0.0;25.4;86;14.9
2004-02-06;1.0;25.8;84;12.8
2004-02-07;5.0;25.1;88;13.2
2004-02-08;0.0;24.6;90;11.7
2004-02-09;4.5;25.3;86;16.7
2004-02-10;0.0;26.2;82;14.5
2004-02-11;0.0;26.4;82;17.5
2004-02-12;15.0;25.9;85;17.0
2004-02-13;3.7;25.9;85;14.7
2004-02-14;3.4;25.6;86;11.7
2004-02-15;7.0;25.7;88;14.9
2004-02-16;6.5;25.7;88;14.7
2004-02-17;73.5;25.2;89;12.3
2004-02-18;7.0;25.7;86;9.1
2004-02-19;50.5;25.2;89;13.7
2004-02-20;62.5;25.4;89;8.2
2004-02-21;10.5;25.6;89;15.6
2004-02-22;0.0;26.0;86;13.2
2004-02-23;0.0;25.7;89;18.2
2004-02-24;6.0;26.0;87;11.9
2004-02-25;0.0;25.9;86;13.8
2004-02-26;6.0;25.9;87;14.3
2004-02-27;0.0;25.6;88;12.5
2004-02-28;0.0;25.6;88;12.3
2004-02-29;0.0;26.4;83;13.4
2004-03-01;0.0;26.3;83;14.3
2004-03-02;0.0;26.5;82;13.6
2004-03-03;0.0;25.7;87;14.8
2004-03-04;6.5;25.9;88;15.3
2004-03-05;15.6;25.1;89;16.3
2004-03-06;0.0;25.8;87;14.7
2004-03-07;50.0;25.2;89;17.0
2004-03-08;18.5;24.6;92;14.4
2004-03-09;2.0;25.6;86;18.4
2004-03-10;2.5;26.2;85;14.9
2004-03-11;0.0;26.2;86;8.2
2004-03-12;32.5;25.6;88;11.5
2004-03-13;26.5;25.3;89;13.2
2004-03-14;31.5;25.5;86;11.2
2004-03-15;0.0;26.1;80;15.0
2004-03-16;9.3;26.0;82;16.1
2004-03-17;1.0;24.9;88;13.9
2004-03-18;34.2;24.9;91;7.6
2004-03-19;27.5;25.7;85;9.5
2004-03-20;0.0;26.5;84;10.0
2004-03-21;2.5;26.1;89;12.9
2004-03-22;0.0;25.9;89;14.2
2004-03-23;13.0;26.8;82;16.2
2004-03-24;0.0;27.0;80;15.7
2004-03-25;0.0;27.4;79;14.1
2004-03-26;0.0;27.3;80;12.4
2004-03-27;0.0;26.7;83;7.3
2004-03-28;14.4;26.9;84;10.7
2004-03-29;0.0;26.5;84;10.2
2004-03-30;0.0;26.4;84;8.8
2004-03-31;0.0;26.4;86;13.3
2004-04-01;3.5;26.1;87;9.7
2004-04-02;0.0;26.2;86;12.3
2004-04-03;0.0;26.3;86;12.1
2004-04-04;26.0;26.2;85;11.5
2004-04-05;0.0;26.1;86;10.1
2004-04-06;0.0;26.1;84;12.7
2004-04-07;0.0;26.6;83;10.2
2004-04-08;0.0;26.5;85;9.0
2004-04-09;5.5;26.2;84;8.7
2004-04-10;51.5;25.9;86;7.4
2004-04-11;0.0;26.4;84;9.9
2004-04-12;0.0;26.9;82;10.9
2004-04-13;0.0;27.6;80;8.4
2004-04-14;0.0;27.3;83;8.7
2004-04-15;0.0;27.3;80;7.4
2004-04-16;0.0;27.1;80;11.8
2004-04-17;13.0;27.4;80;11.0
2004-04-18;0.0;27.3;80;9.9
2004-04-19;11.0;26.9;84;8.0
2004-04-20;0.0;26.4;86;12.0
2004-04-21;0.0;25.9;88;10.2
2004-04-22;89.0;26.7;81;9.0
2004-04-23;2.5;26.3;87;8.4
2004-04-24;25.5;25.9;89;11.2
2004-04-25;50.0;26.2;86;12.9
2004-04-26;0.0;27.0;82;13.0
2004-04-27;1.5;26.3;86;10.5
2004-04-28;0.0;27.1;82;11.5
2004-04-29;0.0;27.0;82;11.1
2004-04-30;3.0;26.7;83;6.6
2004-05-01;0.5;26.6;85;9.6
2004-05-02;0.0;26.4;86;8.3
2004-05-03;0.0;26.7;86;9.3
2004-05-04;0.0;26.5;88;11.2
2004-05-05;0.0;26.2;88;9.8
2004-05-06;0.0;26.2;88;7.1
2004-05-07;14.3;25.9;87;16.0
2004-05-08;0.0;26.3;84;13.4
2004-05-09;0.0;27.1;80;8.9
2004-05-10;0.0;27.3;82;7.2
2004-05-11;0.0;26.9;83;7.2
2004-05-12;6.3;26.5;84;7.8
2004-05-13;0.0;27.2;80;7.3
2004-05-14;37.0;26.6;84;7.4
2004-05-15;57.5;26.7;83;6.6
2004-05-16;0.0;26.6;85;6.1
2004-05-17;0.0;26.3;86;7.0
2004-05-18;2.6;26.2;87;6.7
2004-05-19;38.6;26.4;86;8.0
2004-05-20;0.0;26.1;88;8.8
2004-05-21;9.4;26.6;83;8.3
2004-05-22;0.0;26.4;85;11.6
2004-05-23;2.0;25.8;87;7.7
2004-05-24;2.5;25.7;86;14.2
2004-05-25;35.2;26.5;84;11.4
2004-05-26;0.0;25.5;88;12.5
2004-05-27;38.0;25.2;89;9.4
2004-05-28;0.0;25.2;89;10.8
2004-05-29;0.0;25.7;84;7.0
2004-05-30;0.0;25.3;84;8.7
2004-05-31;23.5;25.0;77;8.4
2004-06-01;0.0;24.4;71;9.1
2004-06-02;0.0;24.3;72;9.4
2004-06-03;0.0;25.9;74;7.2
2004-06-04;0.0;25.0;78;9.5
2004-06-05;0.0;25.4;83;7.4
2004-06-06;0.0;26.1;82;8.8
2004-06-07;0.0;27.0;81;9.7
2004-06-08;0.0;25.9;85;8.9
2004-06-09;29.0;24.9;90;8.4
2004-06-10;0.0;25.3;86;12.2
2004-06-11;0.0;25.1;87;13.8
2004-06-12;0.0;25.9;84;17.2
2004-06-13;0.0;26.5;82;16.0
2004-06-14;0.0;26.1;82;11.5
2004-06-15;0.0;25.9;82;9.0
2004-06-16;0.0;26.1;79;12.6
2004-06-17;0.0;26.2;75;10.8
2004-06-18;0.0;26.2;78;8.7
2004-06-19;0.0;26.3;79;10.1
2004-06-20;0.0;25.9;83;8.7
2004-06-21;0.0;25.8;82;7.2
2004-06-22;0.0;26.4;78;10.5
2004-06-23;0.0;25.5;80;9.4
2004-06-24;0.0;26.1;78;12.6
2004-06-25;0.0;26.4;78;11.4
2004-06-26;0.0;26.3;79;7.8
2004-06-27;0.0;25.9;81;12.5
2004-06-28;0.0;26.2;77;9.7
2004-06-29;0.0;26.1;77;10.1
2004-06-30;0.0;25.6;75;11.8
2004-07-01;0.0;26.0;76;10.4
2004-07-02;0.0;25.7;83;9.7
2004-07-03;0.0;26.2;81;11.6
2004-07-04;0.0;25.2;85;10.0
2004-07-05;0.0;25.9;82;12.9
2004-07-06;0.0;25.9;81;13.4
2004-07-07;0.0;25.5;84;9.1
2004-07-08;0.0;25.1;84;10.6
2004-07-09;10.0;25.2;84;7.9
2004-07-10;0.0;25.3;81;8.8
2004-07-11;18.5;25.9;80;10.4
2004-07-12;0.0;24.9;85;9.9
2004-07-13;9.5;25.1;84;14.7
2004-07-14;0.0;25.3;83;10.1
2004-07-15;0.0;25.3;83;10.4
2004-07-16;1.0;25.6;82;7.6
2004-07-17;0.0;24.9;86;7.7
2004-07-18;0.0;25.3;82;13.7
2004-07-19;0.0;26.0;76;17.5
2004-07-20;0.0;26.2;69;11.3
2004-07-21;0.0;26.0;75;9.7
2004-07-22;0.0;26.1;76;12.5
2004-07-23;0.0;26.5;75;11.8
2004-07-24;0.0;26.5;78;9.9
2004-07-25;0.0;26.0;78;7.1
2004-07-26;0.0;26.4;77;8.8
2004-07-27;0.0;26.6;74;9.4
2004-07-28;0.0;26.5;74;12.2
2004-07-29;0.0;26.6;73;11.6
2004-07-30;0.0;26.7;73;10.0
2004-07-31;0.0;26.4;74;12.4
2004-08-01;0.0;26.5;70;9.6
