Tanggal;Kecamatan;Curah Hujan (mm)
01/01/2005;Cakung;6.9
01/01/2005;Cipayung;6.9
01/01/2005;Ciracas;6.9
01/01/2005;Duren Sawit;6.9
01/01/2005;Jatinegara;6.9
01/01/2005;Kramat Jati;4.2
01/01/2005;Makasar;6.9
01/01/2005;Matraman;4.2
01/01/2005;Pasar Rebo;4.2
01/01/2005;Pulo Gadung;6.9
02/01/2005;Cakung;6.6
02/01/2005;Cipayung;6.6
02/01/2005;Ciracas;6.6
02/01/2005;Duren Sawit;6.6
02/01/2005;Jatinegara;6.6
02/01/2005;Kramat Jati;1.5
02/01/2005;Makasar;6.6
02/01/2005;Matraman;1.5
02/01/2005;Pasar Rebo;1.5
02/01/2005;Pulo Gadung;6.6
03/01/2005;Cakung;2.0
03/01/2005;Cipayung;2.0
03/01/2005;Ciracas;2.0
03/01/2005;Duren Sawit;2.0
03/01/2005;Jatinegara;2.0
03/01/2005;Kramat Jati;1.9
03/01/2005;Makasar;2.0
03/01/2005;Matraman;1.9
03/01/2005;Pasar Rebo;1.9
03/01/2005;Pulo Gadung;2.0
04/01/2005;Cakung;26.2
04/01/2005;Cipayung;26.2
04/01/2005;Ciracas;26.2
04/01/2005;Duren Sawit;26.2
04/01/2005;Jatinegara;26.2
04/01/2005;Kramat Jati;24.5
04/01/2005;Makasar;26.2
04/01/2005;Matraman;24.5
04/01/2005;Pasar Rebo;24.5
04/01/2005;Pulo Gadung;26.2
05/01/2005;Cakung;18.2
05/01/2005;Cipayung;18.2
05/01/2005;Ciracas;18.2
05/01/2005;Duren Sawit;18.2
05/01/2005;Jatinegara;18.2
05/01/2005;Kramat Jati;13.6
05/01/2005;Makasar;18.2
05/01/2005;Matraman;13.6
05/01/2005;Pasar Rebo;13.6
05/01/2005;Pulo Gadung;18.2
06/01/2005;Cakung;10.5
06/01/2005;Cipayung;10.5
06/01/2005;Ciracas;10.5
06/01/2005;Duren Sawit;10.5
06/01/2005;Jatinegara;10.5
06/01/2005;Kramat Jati;9.8
06/01/2005;Makasar;10.5
06/01/2005;Matraman;9.8
06/01/2005;Pasar Rebo;9.8
06/01/2005;Pulo Gadung;10.5
07/01/2005;Cakung;12.4
07/01/2005;Cipayung;12.4
07/01/2005;Ciracas;12.4
07/01/2005;Duren Sawit;12.4
07/01/2005;Jatinegara;12.4
07/01/2005;Kramat Jati;16.7
07/01/2005;Makasar;12.4
07/01/2005;Matraman;16.7
07/01/2005;Pasar Rebo;16.7
07/01/2005;Pulo Gadung;12.4
08/01/2005;Cakung;10.3
08/01/2005;Cipayung;10.3
08/01/2005;Ciracas;10.3
08/01/2005;Duren Sawit;10.3
08/01/2005;Jatinegara;10.3
08/01/2005;Kramat Jati;10.4
08/01/2005;Makasar;10.3
08/01/2005;Matraman;10.4
08/01/2005;Pasar Rebo;10.4
08/01/2005;Pulo Gadung;10.3
09/01/2005;Cakung;7.4
09/01/2005;Cipayung;7.4
09/01/2005;Ciracas;7.4
09/01/2005;Duren Sawit;7.4
09/01/2005;Jatinegara;7.4
09/01/2005;Kramat Jati;4.5
09/01/2005;Makasar;7.4
09/01/2005;Matraman;4.5
09/01/2005;Pasar Rebo;4.5
09/01/2005;Pulo Gadung;7.4
10/01/2005;Cakung;2.5
10/01/2005;Cipayung;2.5
10/01/2005;Ciracas;2.5
10/01/2005;Duren Sawit;2.5
10/01/2005;Jatinegara;2.5
10/01/2005;Kramat Jati;1.9
10/01/2005;Makasar;2.5
10/01/2005;Matraman;1.9
10/01/2005;Pasar Rebo;1.9
10/01/2005;Pulo Gadung;2.5
11/01/2005;Cakung;5.2
11/01/2005;Cipayung;5.2
11/01/2005;Ciracas;5.2
11/01/2005;Duren Sawit;5.2
11/01/2005;Jatinegara;5.2
11/01/2005;Kramat Jati;5.2
11/01/2005;Makasar;5.2
11/01/2005;Matraman;5.2
11/01/2005;Pasar Rebo;5.2
11/01/2005;Pulo Gadung;5.2
12/01/2005;Cakung;8.5
12/01/2005;Cipayung;8.5
12/01/2005;Ciracas;8.5
12/01/2005;Duren Sawit;8.5
12/01/2005;Jatinegara;8.5
12/01/2005;Kramat Jati;5.5
12/01/2005;Makasar;8.5
12/01/2005;Matraman;5.5
12/01/2005;Pasar Rebo;5.5
12/01/2005;Pulo Gadung;8.5
13/01/2005;Cakung;12.3
13/01/2005;Cipayung;12.3
13/01/2005;Ciracas;12.3
13/01/2005;Duren Sawit;12.3
13/01/2005;Jatinegara;12.3
13/01/2005;Kramat Jati;9.9
13/01/2005;Makasar;12.3
13/01/2005;Matraman;9.9
13/01/2005;Pasar Rebo;9.9
13/01/2005;Pulo Gadung;12.3
14/01/2005;Cakung;13.2
14/01/2005;Cipayung;13.2
14/01/2005;Ciracas;13.2
14/01/2005;Duren Sawit;13.2
14/01/2005;Jatinegara;13.2
14/01/2005;Kramat Jati;11.8
14/01/2005;Makasar;13.2
14/01/2005;Matraman;11.8
14/01/2005;Pasar Rebo;11.8
14/01/2005;Pulo Gadung;13.2
15/01/2005;Cakung;9.6
15/01/2005;Cipayung;9.6
15/01/2005;Ciracas;9.6
15/01/2005;Duren Sawit;9.6
15/01/2005;Jatinegara;9.6
15/01/2005;Kramat Jati;8.5
15/01/2005;Makasar;9.6
15/01/2005;Matraman;8.5
15/01/2005;Pasar Rebo;8.5
15/01/2005;Pulo Gadung;9.6
16/01/2005;Cakung;14.2
16/01/2005;Cipayung;14.2
16/01/2005;Ciracas;14.2
16/01/2005;Duren Sawit;14.2
16/01/2005;Jatinegara;14.2
16/01/2005;Kramat Jati;11.9
16/01/2005;Makasar;14.2
16/01/2005;Matraman;11.9
16/01/2005;Pasar Rebo;11.9
16/01/2005;Pulo Gadung;14.2
17/01/2005;Cakung;8.2
17/01/2005;Cipayung;8.2
17/01/2005;Ciracas;8.2
17/01/2005;Duren Sawit;8.2
17/01/2005;Jatinegara;8.2
17/01/2005;Kramat Jati;9.1
17/01/2005;Makasar;8.2
17/01/2005;Matraman;9.1
17/01/2005;Pasar Rebo;9.1
17/01/2005;Pulo Gadung;8.2
18/01/2005;Cakung;10.3
18/01/2005;Cipayung;10.3
18/01/2005;Ciracas;10.3
18/01/2005;Duren Sawit;10.3
18/01/2005;Jatinegara;10.3
18/01/2005;Kramat Jati;11.7
18/01/2005;Makasar;10.3
18/01/2005;Matraman;11.7
18/01/2005;Pasar Rebo;11.7
18/01/2005;Pulo Gadung;10.3
19/01/2005;Cakung;5.1
19/01/2005;Cipayung;5.1
19/01/2005;Ciracas;5.1
19/01/2005;Duren Sawit;5.1
19/01/2005;Jatinegara;5.1
19/01/2005;Kramat Jati;4.5
19/01/2005;Makasar;5.1
19/01/2005;Matraman;4.5
19/01/2005;Pasar Rebo;4.5
19/01/2005;Pulo Gadung;5.1
20/01/2005;Cakung;19.9
20/01/2005;Cipayung;19.9
20/01/2005;Ciracas;19.9
20/01/2005;Duren Sawit;19.9
20/01/2005;Jatinegara;19.9
20/01/2005;Kramat Jati;14.5
20/01/2005;Makasar;19.9
20/01/2005;Matraman;14.5
20/01/2005;Pasar Rebo;14.5
20/01/2005;Pulo Gadung;19.9
21/01/2005;Cakung;25.0
21/01/2005;Cipayung;25.0
21/01/2005;Ciracas;25.0
21/01/2005;Duren Sawit;25.0
21/01/2005;Jatinegara;25.0
21/01/2005;Kramat Jati;23.5
21/01/2005;Makasar;25.0
21/01/2005;Matraman;23.5
21/01/2005;Pasar Rebo;23.5
21/01/2005;Pulo Gadung;25.0
22/01/2005;Cakung;7.0
22/01/2005;Cipayung;7.0
22/01/2005;Ciracas;7.0
22/01/2005;Duren Sawit;7.0
22/01/2005;Jatinegara;7.0
22/01/2005;Kramat Jati;6.2
22/01/2005;Makasar;7.0
22/01/2005;Matraman;6.2
22/01/2005;Pasar Rebo;6.2
22/01/2005;Pulo Gadung;7.0
23/01/2005;Cakung;5.0
23/01/2005;Cipayung;5.0
23/01/2005;Ciracas;5.0
23/01/2005;Duren Sawit;5.0
23/01/2005;Jatinegara;5.0
23/01/2005;Kramat Jati;2.9
23/01/2005;Makasar;5.0
23/01/2005;Matraman;2.9
23/01/2005;Pasar Rebo;2.9
23/01/2005;Pulo Gadung;5.0
