Tanggal;Kecamatan;Curah Hujan (mm);Suhu Rata-rata (C);Kelembapan Rata-rata (%);Kecepatan Angin Max (km/h)
01/01/2005;Cakung;6.9;25.8;84;16.2
01/01/2005;Cipayung;6.9;25.5;85;16.2
01/01/2005;Ciracas;6.9;25.4;85;16.2
01/01/2005;Duren Sawit;6.9;25.7;84;16.2
01/01/2005;Jatinegara;6.9;25.7;84;16.2
01/01/2005;Kramat Jati;4.2;25.5;85;15.6
01/01/2005;Makasar;6.9;25.6;85;16.2
01/01/2005;Matraman;4.2;25.7;84;15.6
01/01/2005;Pasar Rebo;4.2;25.5;85;15.6
01/01/2005;Pulo Gadung;6.9;25.7;84;16.2
02/01/2005;Cakung;6.6;26.5;82;14.6
02/01/2005;Cipayung;6.6;26.2;83;14.6
02/01/2005;Ciracas;6.6;26.2;83;14.6
02/01/2005;Duren Sawit;6.6;26.4;82;14.6
02/01/2005;Jatinegara;6.6;26.4;82;14.6
02/01/2005;Kramat Jati;1.5;26.2;83;15.2
02/01/2005;Makasar;6.6;26.3;83;14.6
02/01/2005;Matraman;1.5;26.4;82;15.2
02/01/2005;Pasar Rebo;1.5;26.2;83;15.2
02/01/2005;Pulo Gadung;6.6;26.4;82;14.6
03/01/2005;Cakung;2.0;26.2;86;17.0
03/01/2005;Cipayung;2.0;25.9;88;17.0
03/01/2005;Ciracas;2.0;25.8;88;17.0
03/01/2005;Duren Sawit;2.0;26.2;86;17.0
03/01/2005;Jatinegara;2.0;26.1;86;17.0
03/01/2005;Kramat Jati;1.9;25.9;88;15.8
03/01/2005;Makasar;2.0;26.0;88;17.0
03/01/2005;Matraman;1.9;26.2;86;15.8
03/01/2005;Pasar Rebo;1.9;25.9;88;15.8
03/01/2005;Pulo Gadung;2.0;26.2;86;17.0
04/01/2005;Cakung;26.2;25.7;88;15.2
04/01/2005;Cipayung;26.2;25.4;90;15.2
04/01/2005;Ciracas;26.2;25.4;90;15.2
04/01/2005;Duren Sawit;26.2;25.7;88;15.2
04/01/2005;Jatinegara;26.2;25.7;88;15.2
04/01/2005;Kramat Jati;24.5;25.5;90;14.4
04/01/2005;Makasar;26.2;25.5;90;15.2
04/01/2005;Matraman;24.5;25.7;88;14.4
04/01/2005;Pasar Rebo;24.5;25.4;90;14.4
04/01/2005;Pulo Gadung;26.2;25.7;88;15.2
05/01/2005;Cakung;18.2;25.4;87;19.2
05/01/2005;Cipayung;18.2;25.3;88;19.2
05/01/2005;Ciracas;18.2;25.2;88;19.2
05/01/2005;Duren Sawit;18.2;25.4;87;19.2
05/01/2005;Jatinegara;18.2;25.3;87;19.2
05/01/2005;Kramat Jati;13.6;25.3;88;17.3
05/01/2005;Makasar;18.2;25.4;88;19.2
05/01/2005;Matraman;13.6;25.4;87;17.3
05/01/2005;Pasar Rebo;13.6;25.3;88;17.3
05/01/2005;Pulo Gadung;18.2;25.4;87;19.2
06/01/2005;Cakung;10.5;25.6;85;13.2
06/01/2005;Cipayung;10.5;25.3;87;13.2
06/01/2005;Ciracas;10.5;25.2;87;13.2
06/01/2005;Duren Sawit;10.5;25.5;85;13.2
06/01/2005;Jatinegara;10.5;25.5;85;13.2
06/01/2005;Kramat Jati;9.8;25.3;87;12.3
06/01/2005;Makasar;10.5;25.4;87;13.2
06/01/2005;Matraman;9.8;25.5;85;12.3
06/01/2005;Pasar Rebo;9.8;25.3;87;12.3
06/01/2005;Pulo Gadung;10.5;25.5;85;13.2
07/01/2005;Cakung;12.4;25.2;90;12.1
07/01/2005;Cipayung;12.4;25.1;91;12.1
07/01/2005;Ciracas;12.4;25.0;91;12.1
07/01/2005;Duren Sawit;12.4;25.2;90;12.1
07/01/2005;Jatinegara;12.4;25.2;90;12.1
07/01/2005;Kramat Jati;16.7;25.1;91;11.5
07/01/2005;Makasar;12.4;25.2;91;12.1
07/01/2005;Matraman;16.7;25.2;90;11.5
07/01/2005;Pasar Rebo;16.7;25.1;91;11.5
07/01/2005;Pulo Gadung;12.4;25.2;90;12.1
08/01/2005;Cakung;10.3;26.1;86;13.1
08/01/2005;Cipayung;10.3;25.8;87;13.1
08/01/2005;Ciracas;10.3;25.7;87;13.1
08/01/2005;Duren Sawit;10.3;26.1;86;13.1
08/01/2005;Jatinegara;10.3;26.0;86;13.1
08/01/2005;Kramat Jati;10.4;25.8;87;12.8
08/01/2005;Makasar;10.3;25.9;87;13.1
08/01/2005;Matraman;10.4;26.0;86;12.8
08/01/2005;Pasar Rebo;10.4;25.8;87;12.8
08/01/2005;Pulo Gadung;10.3;26.1;86;13.1
09/01/2005;Cakung;7.4;25.9;88;14.0
09/01/2005;Cipayung;7.4;25.5;90;14.0
09/01/2005;Ciracas;7.4;25.5;90;14.0
09/01/2005;Duren Sawit;7.4;25.8;88;14.0
09/01/2005;Jatinegara;7.4;25.8;88;14.0
09/01/2005;Kramat Jati;4.5;25.5;90;12.0
09/01/2005;Makasar;7.4;25.6;90;14.0
09/01/2005;Matraman;4.5;25.8;88;12.0
09/01/2005;Pasar Rebo;4.5;25.5;90;12.0
09/01/2005;Pulo Gadung;7.4;25.8;88;14.0
10/01/2005;Cakung;2.5;26.1;83;16.6
10/01/2005;Cipayung;2.5;25.7;84;16.6
10/01/2005;Ciracas;2.5;25.7;84;16.6
10/01/2005;Duren Sawit;2.5;26.1;83;16.6
10/01/2005;Jatinegara;2.5;26.0;83;16.6
10/01/2005;Kramat Jati;1.9;25.7;84;17.7
10/01/2005;Makasar;2.5;25.8;84;16.6
10/01/2005;Matraman;1.9;26.0;83;17.7
10/01/2005;Pasar Rebo;1.9;25.7;84;17.7
