cutoff_label,start_date,config_label,time_steps,loss_mode,selection_score,accuracy,macro_recall,macro_f1,critical_recall,critical_precision,critical_f1,best_xgb_name,best_gate_class_2_threshold,best_gate_class_3_threshold,best_gate_class_2_margin,best_gate_class_3_margin,sequence_count,train_sequences,val_sequences,test_sequences,class3_total,class3_test,run_dir,summary_path
2005plus,2005-01-01,ts3_focal,3,focal,0.435637,0.63039,0.390635,0.370842,0.142857,0.038095,0.06015,XGB_1,0.6,0.65,0.0,0.0,78460,54910,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts3_focal_20260705_222007,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts3_focal_20260705_222007\training_summary.json
2006plus,2006-01-01,ts3_ce,3,cross_entropy,0.426733,0.619501,0.390116,0.365704,0.142857,0.014286,0.025974,XGB_1,0.6,0.65,0.0,0.0,74810,52350,11230,11230,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2006plus_ts3_ce_20260705_224546,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2006plus_ts3_ce_20260705_224546\training_summary.json
2005plus,2005-01-01,ts7_ce,7,cross_entropy,0.423701,0.610526,0.388908,0.357349,0.178571,0.008961,0.017065,XGB_1,0.65,0.65,0.0,0.0,78420,54870,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts7_ce_20260705_214827,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts7_ce_20260705_214827\training_summary.json
2007plus,2007-01-01,ts3_ce,3,cross_entropy,0.422855,0.616667,0.388798,0.371903,0.107143,0.014019,0.024793,XGB_3,0.65,0.65,0.0,0.0,71160,49800,10680,10680,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts3_ce_20260705_231402,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts3_ce_20260705_231402\training_summary.json
2007plus,2007-01-01,ts3_focal,3,focal,0.420291,0.618446,0.376649,0.358527,0.107143,0.023256,0.038217,XGB_2,0.65,0.65,0.0,0.0,71160,49800,10680,10680,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts3_focal_20260705_232014,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts3_focal_20260705_232014\training_summary.json
2007plus,2007-01-01,ts7_ce,7,cross_entropy,0.414168,0.61264,0.368839,0.352102,0.107143,0.014634,0.025751,XGB_1,0.6,0.65,0.0,0.0,71120,49760,10680,10680,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts7_ce_20260705_225938,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2007plus_ts7_ce_20260705_225938\training_summary.json
2003plus,2003-01-01,ts3_focal,3,focal,0.413116,0.621601,0.369936,0.368543,0.035714,0.004505,0.008,XGB_2,0.65,0.65,0.0,0.0,85770,60030,12870,12870,169,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2003plus_ts3_focal_20260705_205754,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2003plus_ts3_focal_20260705_205754\training_summary.json
2004plus,2004-01-01,ts3_ce,3,cross_entropy,0.412499,0.647607,0.352842,0.340749,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,82120,57470,12320,12330,169,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2004plus_ts3_ce_20260705_213124,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2004plus_ts3_ce_20260705_213124\training_summary.json
2005plus,2005-01-01,ts5_ce,5,cross_entropy,0.412219,0.651443,0.348548,0.333936,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,78440,54890,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts5_ce_20260705_215950,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2005plus_ts5_ce_20260705_215950\training_summary.json
2004plus,2004-01-01,ts7_ce,7,cross_entropy,0.411127,0.648824,0.349247,0.333844,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,82080,57430,12320,12330,169,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2004plus_ts7_ce_20260705_210900,C:\Users\Vino\Documents\SKRIPSI\artifacts\cutoff_2004plus_ts7_ce_20260705_210900\training_summary.json
