window,kind,seed,sel,thr,acc,bal,prec,rec,f1
7,cnn,1,acc,0.17500000000000004,0.6,0.5,0.6,1.0,0.75
7,cnn,1,bal,0.7500000000000002,0.4461538461538462,0.5128205128205128,0.6363636363636364,0.1794871794871795,0.28
7,cnn,1,f1,0.17500000000000004,0.6,0.5,0.6,1.0,0.75
7,cnn,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,cnn,2,bal,0.7000000000000003,0.4461538461538462,0.5128205128205128,0.6363636363636364,0.1794871794871795,0.28
7,cnn,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,cnn,3,acc,0.3750000000000001,0.6,0.5,0.6,1.0,0.75
7,cnn,3,bal,0.8750000000000003,0.47692307692307695,0.5576923076923077,0.8571428571428571,0.15384615384615385,0.2608695652173913
7,cnn,3,f1,0.3750000000000001,0.6,0.5,0.6,1.0,0.75
7,gru,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,1,bal,0.9500000000000004,0.4,0.46153846153846156,0.5,0.15384615384615385,0.23529411764705882
7,gru,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,2,bal,0.8500000000000003,0.36923076923076925,0.44871794871794873,0.3333333333333333,0.05128205128205128,0.08888888888888889
7,gru,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,3,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,gru,3,bal,0.8500000000000003,0.4153846153846154,0.48717948717948717,0.5555555555555556,0.1282051282051282,0.20833333333333334
7,gru,3,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,1,bal,0.5250000000000001,0.5538461538461539,0.5576923076923077,0.65625,0.5384615384615384,0.5915492957746479
7,lstm,1,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,2,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,2,bal,0.17500000000000004,0.5692307692307692,0.47435897435897434,0.5873015873015873,0.9487179487179487,0.7254901960784313
7,lstm,2,f1,0.05,0.6,0.5,0.6,1.0,0.75
7,lstm,3,acc,0.17500000000000004,0.5846153846153846,0.48717948717948717,0.59375,0.9743589743589743,0.7378640776699029
7,lstm,3,bal,0.7000000000000003,0.4307692307692308,0.47435897435897434,0.5555555555555556,0.2564102564102564,0.3508771929824561
7,lstm,3,f1,0.17500000000000004,0.5846153846153846,0.48717948717948717,0.59375,0.9743589743589743,0.7378640776699029
7,bilstm,1,acc,0.05,0.6,0.5,0.6,1.0,0.75
7,bilstm,1,bal,0.6750000000000003,0.4307692307692308,0.4807692307692307,0.5625,0.23076923076923078,0.32727272727272727
