window_label,start_date,time_steps,loss_mode,selection_score,accuracy,macro_recall,macro_f1,critical_recall,critical_precision,critical_f1,best_xgb_name,best_gate_class_2_threshold,best_gate_class_3_threshold,best_gate_class_2_margin,best_gate_class_3_margin,sequence_count,train_sequences,val_sequences,test_sequences,class3_total,class3_test,run_dir,summary_path
2005plus,2005-01-01,7,cross_entropy,0.443264,0.633786,0.398385,0.37321,0.178571,0.044643,0.071429,XGB_1,0.65,0.65,0.0,0.0,78420,54870,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts7_cross_entropy_20260705_165010,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts7_cross_entropy_20260705_165010\training_summary.json
2005plus,2005-01-01,3,focal,0.427292,0.603905,0.401625,0.361802,0.214286,0.010327,0.019704,XGB_1,0.6,0.5,0.0,0.0,78460,54910,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts3_focal_20260705_162021,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts3_focal_20260705_162021\training_summary.json
2005plus,2005-01-01,5,cross_entropy,0.412897,0.651528,0.350842,0.335414,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,78440,54890,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts5_cross_entropy_20260705_163012,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts5_cross_entropy_20260705_163012\training_summary.json
2005plus,2005-01-01,3,cross_entropy,0.409704,0.62691,0.363052,0.365682,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,78460,54910,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts3_cross_entropy_20260705_161004,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts3_cross_entropy_20260705_161004\training_summary.json
2005plus,2005-01-01,5,focal,0.40595,0.620543,0.346694,0.330468,0.071429,0.010695,0.018605,XGB_2,0.65,0.6,0.0,0.0,78440,54890,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts5_focal_20260705_164034,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts5_focal_20260705_164034\training_summary.json
2005plus,2005-01-01,7,focal,0.396065,0.600679,0.344845,0.332039,0.071429,0.003311,0.006329,XGB_3,0.65,0.4,0.0,0.05,78420,54870,11770,11780,166,28,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts7_focal_20260705_165949,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2005plus_ts7_focal_20260705_165949\training_summary.json
2010plus,2010-01-01,5,cross_entropy,0.388015,0.576438,0.353616,0.347469,0.05,0.007937,0.013699,XGB_4,0.6,0.65,0.0,0.0,60180,42110,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts5_cross_entropy_20260705_172417,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts5_cross_entropy_20260705_172417\training_summary.json
2010plus,2010-01-01,3,focal,0.386792,0.579535,0.347992,0.341545,0.05,0.003436,0.006431,XGB_2,0.65,0.65,0.0,0.0,60200,42130,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts3_focal_20260705_171737,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts3_focal_20260705_171737\training_summary.json
2010plus,2010-01-01,7,cross_entropy,0.384835,0.585177,0.344627,0.349054,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,60160,42090,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts7_cross_entropy_20260705_173823,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts7_cross_entropy_20260705_173823\training_summary.json
2010plus,2010-01-01,5,focal,0.382254,0.584403,0.340161,0.341242,0.0,0.0,0.0,XGB_1,0.65,0.65,0.0,0.0,60180,42110,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts5_focal_20260705_173135,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts5_focal_20260705_173135\training_summary.json
2010plus,2010-01-01,3,cross_entropy,0.380515,0.578097,0.338961,0.347633,0.0,0.0,0.0,XGB_1,1.0,1.0,0.0,0.0,60200,42130,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts3_cross_entropy_20260705_170904,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts3_cross_entropy_20260705_170904\training_summary.json
2010plus,2010-01-01,7,focal,0.375239,0.573783,0.333042,0.335399,0.0,0.0,0.0,XGB_1,0.65,0.65,0.0,0.0,60160,42090,9030,9040,166,20,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts7_focal_20260705_174815,C:\Users\Vino\Documents\SKRIPSI\artifacts\window_search_2010plus_ts7_focal_20260705_174815\training_summary.json
