Baris_Excel;ID_Saluran;Kode_Saluran;Nama_Saluran;Kota_Administrasi;Kecamatan;Panjang_m;Lebar_m;Tinggi_m;Status_Pencatatan;Jenis_Konstruksi;Status_Tercatat;Dimensi_Lengkap;Luas_Penampang_Proxy_m2;Catatan_Data
833;2780;BAP-17751;Sal. Jl. Bambu Apus Raya Utara;Kota Adm. Jakarta Timur;Cipayung;1200.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
834;2781;BAP-17752;Sal. Jl. Bambu Apus Raya Utara;Kota Adm. Jakarta Timur;Cipayung;1200.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
835;2782;BAP-17753;Sal. Jl. Mini II;Kota Adm. Jakarta Timur;Cipayung;260.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
836;2783;BAP-17754;Sal. Jl. Mini II;Kota Adm. Jakarta Timur;Cipayung;260.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
837;2784;BAP-17755;Sal. Jl. Mini III;Kota Adm. Jakarta Timur;Cipayung;898.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
838;2785;BAP-17756;Sal. Jl. Mini III;Kota Adm. Jakarta Timur;Cipayung;898.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
839;2786;BAP-17757;Sal. Jl. Mini III;Kota Adm. Jakarta Timur;Cipayung;350.0;0.3;0.5;Tercatat;Cor Beton;True;True;0.15;
840;2787;BAP-17758;Sal. Jl. Mini III;Kota Adm. Jakarta Timur;Cipayung;350.0;0.3;0.5;Tercatat;Cor Beton;True;True;0.15;
841;2788;BAP-17759;Sal. Jl. Laksamana;Kota Adm. Jakarta Timur;Cipayung;382.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
842;2789;BAP-17760;Sal. Jl. Laksamana;Kota Adm. Jakarta Timur;Cipayung;382.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
843;2790;BAP-17761;Sal. Jl. Laksamana II;Kota Adm. Jakarta Timur;Cipayung;221.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
844;2791;BAP-17762;Sal. Jl. Laksamana II;Kota Adm. Jakarta Timur;Cipayung;221.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
845;2792;BAP-17763;Sal. Jl. Shinta Raya;Kota Adm. Jakarta Timur;Cipayung;325.0;0.8;0.8;Tercatat;Cor Beton;True;True;0.64;
846;2793;BAP-17764;Sal. Jl. Shinta Raya;Kota Adm. Jakarta Timur;Cipayung;325.0;0.8;0.8;Tercatat;Cor Beton;True;True;0.64;
847;2794;BAP-17765;Sal. Jl. Shinta VII;Kota Adm. Jakarta Timur;Cipayung;186.0;0.2;0.3;Tercatat;Pasir Batu/Cor Beton;True;True;0.06;
848;2795;BAP-17766;Sal. Jl. Shinta VII;Kota Adm. Jakarta Timur;Cipayung;186.0;0.2;0.3;Tercatat;Pasir Batu/Cor Beton;True;True;0.06;
849;2796;BAP-17767;Sal. Jl. Wibisana;Kota Adm. Jakarta Timur;Cipayung;432.0;0.2;0.3;Tercatat;Cor Beton;True;True;0.06;
850;2797;BAP-17768;Sal. Jl. Wibisana;Kota Adm. Jakarta Timur;Cipayung;432.0;0.2;0.3;Tercatat;Cor Beton;True;True;0.06;
851;2798;BAP-17769;Sal. Jl. Laksamana I;Kota Adm. Jakarta Timur;Cipayung;210.0;0.2;0.3;Tercatat;Cor Beton;True;True;0.06;
852;2799;BAP-17770;Sal. Jl. Laksamana I;Kota Adm. Jakarta Timur;Cipayung;210.0;0.2;0.3;Tercatat;Cor Beton;True;True;0.06;
853;2800;BAP-17771;Sal. Jl. Laksamana;Kota Adm. Jakarta Timur;Cipayung;159.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
854;2801;BAP-17772;Sal. Jl. Laksamana;Kota Adm. Jakarta Timur;Cipayung;159.0;0.2;0.3;Tercatat;U-ditch;True;True;0.06;
855;2802;BAP-17773;Sal. Jl. Rama;Kota Adm. Jakarta Timur;Cipayung;617.0;0.3;0.3;Tercatat;Cor Beton;True;True;0.09;
856;2803;BAP-17774;Sal. Jl. Rama;Kota Adm. Jakarta Timur;Cipayung;264.0;0.3;0.3;Tercatat;Cor Beton;True;True;0.09;
858;2805;BAP-17776;Sal. Jl. Rama;Kota Adm. Jakarta Timur;Cipayung;617.0;0.3;0.3;Tercatat;Cor Beton;True;True;0.09;
859;2806;BAP-17777;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
860;2807;BAP-17778;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
861;2808;BAP-17779;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
862;2809;BAP-17780;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
863;2810;BAP-17781;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
864;2811;BAP-17782;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
865;2812;BAP-17783;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
866;2813;BAP-17784;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
867;2814;BAP-17785;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
868;2815;BAP-17786;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
869;2816;BAP-17787;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
870;2817;BAP-17788;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
871;2818;BAP-17789;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
872;2819;BAP-17790;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
873;2820;BAP-17791;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
874;2821;BAP-17792;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
875;2822;BAP-17793;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
876;2823;BAP-17794;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
877;2824;BAP-17795;Sal. Jl. Swadaya Rawa Binong;Kota Adm. Jakarta Timur;Cipayung;498.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
878;2825;BAP-17796;Sal. Jl. Swadaya Rawa Binong;Kota Adm. Jakarta Timur;Cipayung;498.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
418;2365;BAP-18234;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;365.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
419;2366;BAP-18235;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;113.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
420;2367;BAP-18236;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;474.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
421;2368;BAP-18237;Sal. Jl. Bambu Kuning Utara;Kota Adm. Jakarta Timur;Cipayung;543.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
422;2369;BAP-18238;Sal. Jl. Bambu Kuning Utara;Kota Adm. Jakarta Timur;Cipayung;543.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
423;2370;BAP-18239;Sal. Jl. Kramat Duri Bambu;Kota Adm. Jakarta Timur;Cipayung;457.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
424;2371;BAP-18240;Sal. Jl. Kramat Duri Bambu;Kota Adm. Jakarta Timur;Cipayung;457.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
425;2372;BAP-18241;Sal. Jl. Bambu Kuning Utara;Kota Adm. Jakarta Timur;Cipayung;245.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
426;2373;BAP-18242;Sal. Jl. Bambu Kuning Utara;Kota Adm. Jakarta Timur;Cipayung;245.0;0.2;0.2;Tercatat;U-ditch;True;True;0.04;
427;2374;BAP-18243;Sal. Jl. Bambu Kuning;Kota Adm. Jakarta Timur;Cipayung;540.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
428;2375;BAP-18244;Sal. Jl. Bambu Kuning;Kota Adm. Jakarta Timur;Cipayung;540.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
429;2376;BAP-18245;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;368.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
430;2377;BAP-18246;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;215.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
431;2378;BAP-18247;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;259.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
432;2379;BAP-18248;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;117.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
433;2380;BAP-18249;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;117.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
434;2381;BAP-18250;Sal. Jl. Raya Mabes Hankam;Kota Adm. Jakarta Timur;Cipayung;259.0;0.3;0.6;Tercatat;Cor Beton/U-ditch;True;True;0.18;
435;2382;BAP-18251;Sal. Jl. Bambu Indah;Kota Adm. Jakarta Timur;Cipayung;149.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
436;2383;BAP-18252;Sal. Jl. Bambu Indah;Kota Adm. Jakarta Timur;Cipayung;149.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
437;2384;BAP-18253;Sal. Jl. Bambu Hijau;Kota Adm. Jakarta Timur;Cipayung;414.0;0.6;;Tercatat;U-ditch;True;False;;dimensi_tidak_lengkap, tinggi_sama_dengan_panjang_dikosongkan
438;2385;BAP-18254;Sal. Jl. Bambu Hijau;Kota Adm. Jakarta Timur;Cipayung;414.0;0.6;;Tercatat;U-ditch;True;False;;dimensi_tidak_lengkap, tinggi_sama_dengan_panjang_dikosongkan
439;2386;BAP-18255;Sal. Jl. Bambu Hijau;Kota Adm. Jakarta Timur;Cipayung;152.0;0.6;;Tercatat;U-ditch;True;False;;dimensi_tidak_lengkap, tinggi_sama_dengan_panjang_dikosongkan
440;2387;BAP-18256;Sal. Jl. Bambu Hijau;Kota Adm. Jakarta Timur;Cipayung;152.0;0.6;;Tercatat;U-ditch;True;False;;dimensi_tidak_lengkap, tinggi_sama_dengan_panjang_dikosongkan
441;2388;BAP-18257;Sal. Jl. Daman II;Kota Adm. Jakarta Timur;Cipayung;283.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
442;2389;BAP-18258;Sal. Jl. Daman II;Kota Adm. Jakarta Timur;Cipayung;283.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
443;2390;BAP-18259;Sal. Jl. Bambu Kuning;Kota Adm. Jakarta Timur;Cipayung;241.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
444;2391;BAP-18260;Sal. Jl. Bambu Kuning;Kota Adm. Jakarta Timur;Cipayung;241.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
445;2392;BAP-18261;Sal. Jl. Bambu Apus Raya Utara;Kota Adm. Jakarta Timur;Cipayung;1200.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
446;2393;BAP-18262;Sal. Jl. Bambu Apus Raya;Kota Adm. Jakarta Timur;Cipayung;1200.0;0.6;0.6;Tercatat;Cor Beton;True;True;0.36;
447;2394;BAP-18263;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;200.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
448;2395;BAP-18264;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;200.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
449;2396;BAP-18265;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;165.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
450;2397;BAP-18266;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;165.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
451;2398;BAP-18267;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;276.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
452;2399;BAP-18268;Sal. Jl. Beringin;Kota Adm. Jakarta Timur;Cipayung;276.0;0.2;0.2;Tercatat;Cor Beton;True;True;0.04;
453;2400;BAP-18269;Sal. Jl. Bambu Apus I;Kota Adm. Jakarta Timur;Cipayung;221.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
454;2401;BAP-18270;Sal. Jl. Bambu Apus I;Kota Adm. Jakarta Timur;Cipayung;221.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
455;2402;BAP-18271;Sal. Jl. Bambu Wulung;Kota Adm. Jakarta Timur;Cipayung;416.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
456;2403;BAP-18272;Sal. Jl. Bambu Wulung;Kota Adm. Jakarta Timur;Cipayung;416.0;0.6;0.6;Tercatat;U-ditch;True;True;0.36;
457;2404;BAP-18273;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
458;2405;BAP-18274;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
459;2406;BAP-18275;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;291.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
460;2407;BAP-18276;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;291.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
461;2408;BAP-18277;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
462;2409;BAP-18278;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
463;2410;BAP-18279;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;121.0;0.3;0.4;Tidak diketahui;Cor Beton;False;True;0.12;status_belum_tercatat
464;2411;BAP-18280;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;129.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
465;2412;BAP-18281;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;129.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
466;2413;BAP-18282;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;101.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
467;2414;BAP-18283;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;178.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
468;2415;BAP-18284;Sal. Jl. Gebang Sari Dalam;Kota Adm. Jakarta Timur;Cipayung;178.0;0.3;0.4;Tercatat;Cor Beton;True;True;0.12;
469;2416;BAP-18285;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
470;2417;BAP-18286;;Kota Adm. Jakarta Timur;Cipayung;;;;Tercatat;Cor Beton U-ditch;True;False;;dimensi_tidak_lengkap
