Kecamatan;Kondisi_Drainase_Manual;Skor_Drainase_Manual;Catatan_Manual;Sumber_Data;Jumlah_Ruas;Jumlah_Ruas_Tercatat;Jumlah_Ruas_Dimensi_Lengkap;Jumlah_Ruas_Dimensi_Tidak_Lengkap;Total_Panjang_Valid_m;Rata_Rata_Lebar_m;Rata_Rata_Tinggi_m;Rata_Rata_Luas_Penampang_Proxy_m2;Persen_Status_Tercatat;Persen_Dimensi_Lengkap;Jumlah_Baris_Anomali;Jenis_Konstruksi_Dominan;Catatan;Skor_Drainase_Saran;Kondisi_Drainase_Saran;Skor_Confidence_Drainase;Confidence_Drainase
Cakung;Buruk;70;Estimasi manual sementara karena data drainase kecamatan belum tersedia di file sumber.;DATA DRAINASE JAKTIM.xlsx;0;0;0;0;0.0;;;;;;0;Data tidak tersedia;Data kecamatan tidak ditemukan pada file sumber.;;Tidak diketahui;0.0;Tidak tersedia
Cipayung;;;;DATA DRAINASE JAKTIM.xlsx;877;777;809;68;221379.0;0.403;0.449;0.22;88.6;92.25;142;Cor Beton;"142 baris perlu perhatian; 68 ruas masih punya dimensi belum lengkap.";80.0;Buruk;91.16;Tinggi
Ciracas;;;;DATA DRAINASE JAKTIM.xlsx;209;209;135;74;73251.39;0.683;0.697;0.549;100.0;64.59;74;Cor Beton / Saluran Terbuka;"74 baris perlu perhatian; 74 ruas masih punya dimensi belum lengkap.";25.92;Baik;75.21;Sedang
Duren Sawit;;;;DATA DRAINASE JAKTIM.xlsx;432;422;426;6;175912.0;0.654;0.733;0.522;97.69;98.61;12;Coran Batu Kali, Terbuka & Tertutup Coran;"12 baris perlu perhatian; 6 ruas masih punya dimensi belum lengkap.";30.36;Baik;98.33;Tinggi
Jatinegara;;;;DATA DRAINASE JAKTIM.xlsx;418;414;408;10;100254.0;0.568;0.587;0.356;99.04;97.61;10;Cor Beton;"10 baris perlu perhatian; 10 ruas masih punya dimensi belum lengkap.";57.64;Sedang;98.04;Tinggi
Kramat Jati;;;;DATA DRAINASE JAKTIM.xlsx;411;397;194;217;141728.0;0.694;0.722;0.585;96.59;47.2;217;Cor Beton;"217 baris perlu perhatian; 217 ruas masih punya dimensi belum lengkap.";20.0;Baik;62.02;Rendah
Makasar;;;;DATA DRAINASE JAKTIM.xlsx;311;308;300;11;78668.0;0.504;0.491;0.273;99.04;96.46;11;Turap Batu Kali;"11 baris perlu perhatian; 11 ruas masih punya dimensi belum lengkap.";71.29;Buruk;97.23;Tinggi
Matraman;;;;DATA DRAINASE JAKTIM.xlsx;291;291;291;0;75189.5;0.633;0.643;0.445;100.0;100.0;0;Cor Beton / Saluran Terbuka dan Tertutup;"0 baris perlu perhatian; 0 ruas masih punya dimensi belum lengkap.";43.01;Sedang;100.0;Tinggi
Pasar Rebo;;;;DATA DRAINASE JAKTIM.xlsx;361;355;336;25;160828.0;0.503;0.506;0.283;98.34;93.07;30;Uditch/Saluran Teknis;"30 baris perlu perhatian; 25 ruas masih punya dimensi belum lengkap.";69.64;Buruk;94.65;Tinggi
Pulo Gadung;;;;DATA DRAINASE JAKTIM.xlsx;721;624;690;31;224860.31;0.67;0.71;0.513;86.55;95.7;125;Turap Beton/Saluran Tertutup Sebagian Terbuka;"125 baris perlu perhatian; 31 ruas masih punya dimensi belum lengkap.";31.84;Baik;92.95;Tinggi
